title,company,job_location,experience,skills,link,keywords (Yake),keywords (Rake),keywords ( StackOverflow Tags)
Business Data Analyst - (3 to 7 Years of Experience),Capco,"Mumbai, Maharashtra",2+ years experience,[],https://indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0ANL8Hq3jMmfklcoZyaChfi2qVhkVN2K05_koSRsDmC-0BAbKA-ZlnZklhQFn1XxvGlWCM5n9IK4bu35ayhDMp-M7Vl4TOEVY446n9LfQNoP4zZnrDyHDxLWeo147YuAFia6ZC3WDtbLuQmBQdJjCh-CSADk150ijBuAMWP_EDR_Q-g-WXrUyh7lXrSFsaQ0bWCW2ADHfkJx4vYGlSm4u2eofiofelCCkLN-sFMJWU4r9C_hQW5D4hJv1uYTnaRVhDYA19Xu_yi5AefxjDWSMnvLHPvIlnfK0hR_g_1PnVrIf4g1cCnUtjX9vyGSgL3wsw-LKPfJiHDzPDP3KlkpA8apUsoKr-17ZY1GFRIL19X53WcSANuAIXk7F4yR4E2HeWHp60xOhEw29LkF41Tqbk2tjcqyF8e3SoytISTnhJEaUkBptvOi30lw1ABBFIY-BI4GU-b0IZdh0YjndBvHyK3DNAAxsc7Po1PCaOwG4uC2A==&p=2&fvj=1&vjs=3,"['north america europe', 'word uscapco global', 'solely financial services', 'technology consultancy dedicated', 'consultancy dedicated solely', 'dedicated solely financial', 'uscapco global business', 'global business technology', 'business technology consultancy', 'offices asia', 'word uscapco', 'financial services', 'north america', 'america europe', 'uscapco global', 'technology consultancy', 'consultancy dedicated', 'dedicated solely', 'solely financial', 'years experience business']","['producing bi dashboard standard operating procedure documents consolidate monthly dashboards centralised storage', 'willingness learn )* minimum 2 years experience business analytics intelligence tool like tableau', 'able effectively interact large diverse user community efficiently handling senior stakeholders', 'document reports metrics required measure data quality based critical data attributes', 'word uscapco global business technology consultancy dedicated solely financial services', 'years experience candidate bfsi sector focus business data design', 'data segmentation preferably experience data management framework', 'result oriented business analysis evaluate business processes', 'helping clients deliver projects bfsi areas', 'strong interpersonal skills ability influence w', 'knowledge strong willingness learn', 'swiss army knife fs industry', 'strong willingness continue learning', 'end business process understanding', 'data modelling provisioning tools', 'uncover areas process improvement', 'support execution delivery projects', 'systems tools related back', 'end data extraction tools', 'preparing data governance reporting', 'strong data analyst', 'strong background data', 'business analysis', 'ambition data professional', 'alignment data enrichment', 'power bi alteryx', 'north america europe', 'develop implementing solutions', 'company standardjob type', '26 offices asia', '3 years', 'power bi', '5 years', 'data lineage', 'data gathering', 'tableau', 'analytics', 'required', 'end front', 'total work', 'kde boarding', 'direct authority', 'banking domain', 'anticipate requirements', '1 year', 'industry', 'fs', 'end', 'reporting', 'alteryx', '5', 'timeexperience', 'salary', 'preferred', 'mvp', 'leadership', 'kpi', 'full', 'education', 'cleansing', 'bachelor']","['service', 'kde', 'reporting', 'system', 'storage', 'banking', 'project', 'provisioning', 'client', 'alteryx', 'measure', 'dashboard', 'dedicated', 'evaluate', 'process', 's', 'execution', 'sector', 'required', 'minimum', 'analysis', 'procedure', 'knife', 'area', 'word', 'global', 'end-to-end', 'mvp', 'focus', 'authority', 'document', 'alignment', 'candidate', 'solution', 'background', 'tableau', 'report', 'analytics', 'extraction', 'financial', 'kpi', 'metric', 'continue']"
BBRC-Associate Scientist-TMTR,Syngene,India,,[],https://indeed.co.in/rc/clk?jk=20fc2502dc7a9ac4&fccid=19b8173eea1d254a&vjs=3,"['drug screening programs', 'experience vitro biochemical', 'support drug screening', 'vitro biochemical assays', 'based assays support', 'assays support drug', 'screening programs', 'candidate experience vitro', 'experience vitro', 'vitro biochemical', 'support drug', 'drug screening', 'biochemical assays cell', 'assays cell based', 'cell based assays', 'biochemical assays', 'based assays', 'assays support', 'assays', 'cell']","['candidate experience vitro biochemical assays cell based assays support drug screening programs 2', 'candidates needs work closely colleagues maintain highly professional collaborative environment', 'candidates participate common lab activities maintaining inventory', 'candidates sound knowledge biochemistry immunology 4', 'basic hands training cell culture', 'responsibilities include running monitoring experiments', 'data analysis data interpretation 3', 'immune cell isolation blood', 'taking care lab equipment', 'analysing interpreting data 5', 'instruments']","['include', 'culture', 'isolation', 'monitoring', 'responsibility', 'candidate', 'inventory', 'collaborative', 'lab', 'analysis', 'basic', 'environment', 'cell', 'interpretation']"
Data Scientist (1-3 yrs),Valiance Solutions,"Noida, Uttar Pradesh",2+ years experience,"['Machine Learning', 'Python', 'Natural Language Processing', 'R']",https://indeed.co.in/rc/clk?jk=23563e303d6fb375&fccid=aac3cf2de368e654&vjs=3,"['good knowledge statistics', 'scientists good knowledge', 'expectations data scientists', 'data scientists good', 'actionable items customers', 'framework weaving final', 'knowledge statistics', 'items customers', 'scientists good', 'transforming business problem', 'weaving final results', 'results actionable items', 'good knowledge', 'expectations data', 'data scientist', 'analytics', 'final results', 'analytics framework weaving', 'framework weaving', 'weaving final']","['house analytics team propose finalize modeling techniques relevant business problem drawing managerial insights statistical techniques predictive modelling managing client satisfaction', 'nlp demonstrated experience translating business problems analytics frameworks translating analytics results final results client consumption', 'tracking workflow drawing actionable recommendations data senior management build sales marketing collateral prospects qualifications', 'ability impact business decisions analytics research equal opportunity employer value diversity company', 'technical skills 2 – 4 years experience advanced analytics consulting environment hands', 'transforming business problem analytics framework weaving final results actionable items customers', 'requirements general skills leading managing analytics engagements coordinate daily interaction client', 'able decide modeling techniques applied solve business problems effectively', 'expectations data scientists good knowledge statistics', 'python application varied machine learning algorithms', 'consulting skills', 'managing', 'data scientist', 'discriminate basis race', 'veteran status', 'share resume', 'sexual orientation', 'random forests', 'neural networks', 'national origin', 'marital status', 'logistic regression', 'feedback process', 'email protected', 'disability status', 'decision trees', '3 yrs', 'python', 'programming r', 'r', 'svm', 'role', 'religion', 'linear', 'gender', 'e', 'color', 'clustering', 'age', '1']","['random', 'insight', 'disability', 'python', 'status', 'modeling', 'interaction', 'svm', 'feedback', 'finalize', 'resume', 'basis', 'client', 'nlp', 'customer', 'coordinate', 'share', 'build', 'drawing', 'process', 'e', 'environment', 'tracking', 'role', 'orientation', 'tree', 'final', 'workflow', 'email', 'algorithm', 'protected', 'consumption', 'r', 'analytics', 'predictive', 'regression']"
Data Scientist,SumTotal,Andhra Pradesh,,"['Machine Learning', 'Analysis Skills', 'Python', 'Agile', 'R']",https://indeed.co.in/rc/clk?jk=256310fc9914c513&fccid=84abc84ad22f88fe&vjs=3,"['data', 'business', 'scientist passionate', 'scientist passionate learning', 'skillsoft', 'data scientist passionate', 'experience', 'develop', 'work', 'learning', 'techniques', 'employment', 'company', 'agencies', 'world', 'talent', 'solutions', 'organizations', 'customer', 'analysis']","['resumes submitted employment agencies directly skillsoft employee hiring manager form signed skillsoft employment agency agreement file search engagement position deemed unsolicited nature', 'performing organizations recognize learning development core business success overall talent management workforce initiatives', 'compromises integrity achieve results constantly mindful creating positive customer experience internally externally', 'leverages cross functional collaboration solve complex business issues drive greater results', 'sumtotal strategic business unit nearly 30 years learning hr software experience', 'skillsoft global leader helping businesses solve biggest challenge – attracting', 'work stakeholders organization identify opportunities leveraging company data drive business solutions', 'manipulate data draw insights large data sets success qualities', 'adheres uncompromising set core values beliefs good bad times', 'fee paid event candidate subsequently hired result referral means', 'responds quickly changing needs business resilient face setbacks adversity', 'analyze data company databases drive optimization improvement product development', 'develop processes tools monitor analyze model performance data accuracy', 'assess effectiveness accuracy new data sources data gathering techniques', 'skillsoft accept unsolicited resumes employment agencies', 'believe knowledge fuel innovation innovation fuel business growth', '“ best places work ,” rely sumtotal ’', 'understand able apply advanced modeling techniques logistic regression', 'develop custom data models algorithms apply data sets', 'edge digital learning human capital management solutions', 'use predictive modeling increase optimize customer experiences', 'innovative work environment team members hold accountable', 'data scientist passionate learning intellectually curious', 'intellectually curious demanding excellence continuous improvement', 'books accessed 130 million times month', 'acts highest standards conduct seen direct', 'b testing framework test model quality', 'npv cashflow measurement effectiveness tools', 'answer specific business queries situations', 'advanced knowledge entire modelling process', 'note employment agencies', 'working purpose driven organization important', 'thank taking time learn us', 'value partnerships built preferred vendors', 'marketing techniques business strategies', 'proficient leveraging financial techniques', 'finance quantitative field master ’', 'champions breakthrough initiatives holds', 'ad targeting business outcomes', 'making work matter .""', 'relevant experience required statistics', 'energized trying new things', 'train professionals company world', 'demonstrated ability manage time', 'resources bring projects completion', 'answers questions resounding yes', 'entrepreneurial spirit learner ’', '160 countries 29 languages', 'skillsoft ’', 'experience statistical languages', 'solutions enable employees', 'degree experience statistics', 'looking amazing talent', 'finance quantitative field', 'develop company', 'team recognized cutting', 'results oriented', 'skillsoft', 'generalized linear models', 'enjoys working hard', 'committed collective purpose', 'enjoy making impact', 'uncomfortable simply maintaining', 'oriented energy things', 'customer centric', 'including fortune ’', 'years post', 'love apply', 'class talent', '000 employees world', 'leading organizations', '500 organizations', 'problem analysis skills', 'accountable delivering', 'preferred ).', 'develop', 'trusted world', 'retaining world', 'including 65', 'fortune 500', 'truthful individual', 'thrive fast', 'technical expertise', 'survival analysis', 'status quo', 'sees challenging', 'revenue generation', 'opportunity intrigues', 'opportunity highlights', 'models', 'fearful acting', 'degree 3', 'decision trees', 'cluster analysis', 'bachelors 5', 'audacious achiever', 'adaptable agile', '’', 'test', 'etc .)', 'agile mindset', 'skills', 'analysis', '000', 'mindset', 'etc', '3', 'yrs', 'videos', 'slq', 'roi', 'read', 'r', 'qualifications', 'python', 'preaches', 'practices', 'paced', 'overview', 'motivating', 'measure', 'math', 'independent', 'implement', 'high', 'e', 'design', 'courses', 'confident', 'authentic', 'action', '2', '100']","['modeling', 'mean', 'performance', 'd', 'project', 'file', 'core', 'environment', 'identify', 'organization', 'database', 'highest', 'global', 'targeting', 'r', 'face', 'highlight', 'quantitative', 'trusted', 'status', 'finance', 'skillsoft', 'country', 'resume', 'product', 'position', 'measure', 'time', 's', 'fuel', 'innovation', 'drive', 'required', 'analysis', 'fee', 'algorithm', 'video', 'solution', 'set', 'financial', 'predictive', 'regression', 'model', 'measurement', 'energy', 'draw', 'agile', 'customer', 'process', 'math', 'apply', 'act', 'roi', 'candidate', 'survival', 'continuous', 'insight', 'python', 'vendor', 'search', 'digital', 'monitor', 'e', 'signed', 'optimization', 'manipulate', 'tree', 'revenue', 'leader', 'b', 'testing', 'integrity', 'completion', 'master', 'field', 'collaboration', 'member']"
Data Analyst Intern,Redroom Technology Pvt. Ltd.( Sanfe),"New Delhi, Delhi",,[],https://indeed.co.in/company/Sanfe/jobs/Data-Analyst-Intern-ccf8d041805244f1?fccid=f7b7fe6d107d0c64&vjs=3,"['miningknowledge predictive modeling', 'segmentation analysisknowledge handling', 'strong analytical skills', 'skills ability collect', 'disseminate significant amounts', 'attention accuracybs mathematics', 'management statisticsjob types', 'preferred', 'knowledge data miningknowledge', 'handling huge datasets', 'knowledge statistics experience', 'packages analyzing datasets', 'data miningknowledge predictive', 'analysisknowledge handling huge', 'statistics experience statistical', 'experience statistical packages', 'statistical packages analyzing', 'analytical skills ability', 'logistic regression', 'millions rows']","['segmentation analysisknowledge handling huge datasets (~ millions rows', 'knowledge statistics experience statistical packages analyzing datasets', 'disseminate significant amounts information attention accuracybs mathematics', 'knowledge data miningknowledge predictive modeling', 'strong analytical skills ability collect', 'information management statisticsjob types', 'temporarily covid', 'sas etc', 'logistic regression', '10th pass', '1 year', 'work remotely', 'total work', 'work', 'time', 'secondary', 'science', 'preferred', 'organize', 'internshipexperience', 'full', 'excel', 'education', 'economics', 'analyze', '19']","['collect', 'row', 'analytical', 'modeling', 'excel', 'package', 'regression', 'predictive', 'sa', 'economics']"
Data Analyst,Aerospace Asset Trading,"New Delhi, Delhi",1+ years experience,[],https://indeed.co.in/rc/clk?jk=2b3b1401f57bf639&fccid=80d51e111d62ec5d&vjs=3,"['analyst responsible analyzing', 'support core organizational', 'core organizational functions', 'responsible analyzing', 'developing delivering', 'developing delivering business', 'intelligent solutions support', 'solutions support core', 'analyst responsible', 'support core', 'core organizational', 'organizational functions', 'data analyst responsible', 'business', 'delivering business intelligent', 'organizational functions business', 'data', 'processes', 'analyzing', 'developing']","['good numbers figures analytical acumen analytical inclination problem solving able willing exhibit entrepreneurial spirit collaborative environment', 'developing delivering business intelligent solutions support core organizational functions business processes', 'compile analyze data provide business trends management assist sales business development', 'identify process improvement opportunities fully enable data analytics assist operationalizing', '3 years experience data models reporting packages aa', 'solid grasp common statistical methods applications', 'maintain database reports dashboards ensure accuracy', 'proficient advanced skills microsoft office quantam', 'assisting defining solutions business processes', 'management team establish business needs', 'identifying patterns trends data sets', 'working alongside multiple teams business', 'excellent verbal written communication skills', 'data analyst responsible analyzing', 'responsibilities include limited following', 'recommendations training report content', 'processes usage dashboards', 'colleting interpreting data', 'bs degree knowledge', 'skills', 'regression ).', 'present insights', 'minimum qualifications', 'learn autonomously', 'highly organized', 'b testing', 'self', 'probability', 'oriented', 'motivated', 'detail', 'ba', 'abilities', '1']","['insight', 'grasp', 'reporting', 'analytical', 'probability', 'model', 'solid', 'communication', 'multiple', 'organized', 'dashboard', 'core', 'process', 'package', 'environment', 'include', 'minimum', 'identify', 'function', 'database', 'b', 'testing', 'figure', 'collaborative', 'responsibility', 'solution', 'analytics', 'report', 'set', 'trend', 'regression']"
Data Scientist,TCG Digital,India,2+ years experience,"['Machine Learning', 'Apache Hive', 'SQL', 'Apache Pig', 'SAS', 'R']",https://indeed.co.in/rc/clk?jk=d991b80025991098&fccid=53cfe18ce8dd5f10&vjs=3,"['years academic qualification', 'mba top-tier engineering', 'economics leading university', 'corporate trainingcompetitive performance-oriented', 'progression personal developmentprofessional', 'environment based camaraderie', 'areas performance management', 'growth opportunities career', 'planning compensation rewards', 'university overview continuous', 'b-school ormasters statistics', 'leading university overview', 'employee benefits packageindustry', 'benefits packageindustry benchmarked', 'opportunities career progression', 'career progression personal', 'performance-oriented compensation employee', 'compensation employee benefits', 'trainingcompetitive performance-oriented compensation', 'career planning compensation']","['interacting business stake holders gathering requirementsanalysing data develop key insights business trends performanceapplying statistical', 'working experience advanced analytics techniques predictive modelling time series forecasting machine learning etc', 'mathematical algorithms needed address specific business problemsproficiency query languages sql', 'core responsibilities include leveraging data science solve business cases', 'oriented compensation employee benefits packageindustry benchmarked hr policies practices', 'intermediate querying scripting skills sqlexperience relevant field statistics', 'roles responsibilities involve teamwork work individual contribution needed', 'role require sound understanding business functions', 'involve teamwork work individual contribution needed', 'growth opportunities career progression personal developmentprofessional', 'articulate confident written verbal communication skills', 'europe experience2 years academic qualification', 'economics leading university overview continuous', 'statistical concepts algorithm design', 'career planning compensation rewards', 'work environment based camaraderie', 'sales quick execution pocs', 'particularly areas performance management', 'job corporate trainingcompetitive performance', 'spocbuddhadeb bhattacharjee mail tobuddhadeb', 'typical activities include', 'science applied math', 'learning professional development', 'school ormasters statistics', 'python additional skills', 'continuous learning', 'training team members', 'preferable ), hive', 'e ., b', 'individual mentorship', 'implementation skills', 'tier engineering', 'mba top', 'contributing pre', 'bhattacharjee', 'b', 'tech', 'tcg', 'stimulating', 'sas', 'r', 'preferred', 'pig', 'locationindia', 'digital', 'com', 'clear']","['continuous', 'insight', 'member', 'communication', 'python', 'policy', 'reward', 'key', 'clear', 'performance', 'planning', 'case', 'hive', 'articulate', 'corporate', 'series', 'core', 'e', 'time', 'environment', 's', 'execution', 'sa', 'economics', 'include', 'math', 'role', 'function', 'b', 'scripting', 'area', 'implementation', 'concept', 'forecasting', 'algorithm', 'com', 'responsibility', 'require', 'r', 'querying', 'sql', 'analytics', 'field', 'trend', 'predictive']"
DATA SCIENTIST,Innefu Labs Pvt. Ltd.,"Delhi, Delhi",2+ years experience,"['Machine Learning', 'TensorFlow', 'Python', 'C/C++']",https://indeed.co.in/rc/clk?jk=88cd8309fdd32344&fccid=5c36da9694f987a9&vjs=3,"['latest technology trends', 'latest technology', 'technology trends', 'responsibilities', 'learning', 'machine', 'profile', 'latest', 'trends', 'excellent', 'excellent understanding', 'machine learning', 'experience', 'techniques', 'research', 'python', 'technology', 'learning techniques', 'work closely project', 'business']","['research teams identifying best model given problem research build highly efficient state', '5 years relevant industrial experience machine learning deep learning', 'exposure recent developments deep learning domain', 'excellent understanding machine learning techniques algorithms', 'building optimizing models machine learning techniques', 'ability write high performance structured code', 'excellent understanding text analytics concepts methodologies', 'etc ), support vector machine', 'think innovative suggest box solutions', 'cnn /, rnn ,/ dnn', 'keras ability big picture', 'art models selecting features', 'conditional random field etc', 'strong working knowledge python', 'soc architecture software python', 'date latest technology trends', 'experience neural networks', 'bnn ,/ lstm', 'work closely project', 'named entity recognition', 'c ++, linux', 'experience gpu', 'text classification', 'sentiment analysis', 'requirements 2', 'profile brief', 'pos tagging', 'event detection', 'bag words', 'c', 'tensorflow', 'ssd', 'responsibilities', 'isp', 'hands', 'dsp', 'cuda', 'caffe', 'business']","['industrial', 'random', 'cnn', 'entity', 'bag', 'model', 'python', 'tensorflow', 'building', 'performance', 'ssd', 'rnn', 'text', 'classification', 'project', 'linux', 'exposure', 'vector', 'lstm', 'build', 'soc', 'c', 'cuda', 'methodology', 'architecture', 'analysis', 'gpu', 'named', 'box', 'detection', 'concept', 'word', 'algorithm', 'po', 'responsibility', 'profile', 'caffe', 'solution', 'analytics', 'tagging', 'field', 'trend', 'conditional']"
Senior Data Scientist,TO THE NEW Digital,"Noida, Uttar Pradesh",4+ years experience,"['Data Analysis Skills', 'Data Visualization', 'Statistical Analysis', 'Machine Learning', 'Hadoop', 'Python', 'Scala', 'Spark', 'Java', 'Natural Language Processing', 'R']",https://indeed.co.in/rc/clk?jk=ba7e3a763a752f5c&fccid=356b7ff796f813bd&vjs=3,"['keen desire solve', 'patterns insights structured', 'community terms articles', 'speaking engagements conferences', 'linear regression modelling', 'database technologies recent', 'desire solve business', 'insights structured unstructured', 'drive learn master', 'active community terms', 'analysis hadoop stack', 'hadoop stack development', 'stack development database', 'ability formulate business', 'ability work independently', 'development database technologies', 'predictive modelling', 'written verbal communication', 'work independently excellent', 'teams drive learn']","['patterns insights structured unstructured data ability work independently excellent written verbal communication skills coordinating teams drive learn master new technologies techniques strong ability formulate business problems mathematically strong problem', 'strong problem solving skills emphasis domain usecase excellent written verbal communication skills coordinating teams experience use case related retail', 'solving analytical problems engineering experience data visualization tools spatial analytics knowledge advanced statistical techniques concepts', 'years experience data analysis hadoop stack development database technologies recent 2', 'solving skills proven data manipulation skills active community terms articles', 'experience applications knowledge variety machine learning techniques', 'years associated data science experience python scala', 'keen desire solve business problems', 'experience implementing analytical solutions programming languages', 'deep learning techniques', 'statistical tests proper usage', 'statistical model development', 'decision tree learning', 'speaking engagements conferences', 'artificial neural networks', 'nlp etc .)', 'linear regression modelling', 'etc .)', 'predictive modelling', 'world advantages', 'text processing', 'python', 'properties distributions', 'regression', 'telecom', 'spark', 'rnn', 'responsibilities', 'real', 'r', 'java', 'image', 'drawbacks', 'cnn', 'clustering', 'blogs', 'banking', 'ann', 'algorithms', '4']","['hadoop', 'distribution', 'cnn', 'insight', 'model', 'analytical', 'communication', 'python', 'rnn', 'text', 'case', 'processing', 'spatial', 'nlp', 'scala', 'stack', 'java', 'term', 'article', 'drive', 'tree', 'database', 'analysis', 'visualization', 'image', 'concept', 'conference', 'algorithm', 'responsibility', 'r', 'solution', 'master', 'analytics', 'banking', 'predictive', 'regression', 'proper']"
Data Scientist (Pune- 90099),amdocs,"Pune, Maharashtra",2+ years experience,"['A/B Testing', 'Natural Language Processing', 'Machine Learning', 'Data Mining', 'TensorFlow', 'Python', 'R']",https://indeed.co.in/rc/clk?jk=7e2ba2aa29356d1a&fccid=3b6bf500a6749588&vjs=3,"['calls messages hold', 'messages hold world', 'communications fabric run', 'fabric run systems', 'data', 'amdocs helped create', 'run systems amdocs', 'systems amdocs helped', 'billions transactions', 'calls messages', 'helped create', 'messages hold', 'hold world', 'world ’s communications', 'communications fabric', 'fabric run', 'run systems', 'business', 'learning', 'experience']","['identify analyze new data analytic directions potential business impact determine proper prioritization data analytics activities based business needs analytics roi', 'respect “ feel good factor ” happen workplace built kind people amdocs employs', 'design data mining solutions implemented executed alignment planned scope design coverage needs', 'respectfully interacts organization boundaries cross regional teams presence needed support business', 'natural language processing comfortable going open source code reading research papers', 'oversees data collection process designs data structure collaboration data experts', 'data scientist performs data mining develops algorithms provide insight data', 'nurture entrepreneurial instincts open doors promote ability seize day', 'machine learning role deep understanding experience field machine learning', 'leveraging knowledge broad understanding e2e business processes requirements', 'including preparation patents white papers facilitating presentations conferences', 'writing complex transformation logic generate independent dependent variables', 'ensures data data analysis activities highest quality', 'communications fabric run systems amdocs helped create', 'deep learning statistical learning experience statistical languages', 'ability work independently drive projects love job', 'work closely content experts managers pinpoint queries', 'supportive atmosphere culture built mutual support', 'define data analytics research plan', 'b testing generating production ready code', 'experience creating advanced machine learning algorithms', 'moving exciting new areas media', 'required business needs predictions', 'end data based research', 'unsupervised reinforcement machine learning problems', '4 years experience data science', 'scope resources required meet objectives', 'data analysis trends business', 'work largest innovative companies planet', 'hands experience data mining', 'subject matter business experts', 'calls messages hold world ’', 'company built amazing people', 'identify data sources', 'work makes impact', '... job duties responsibilities', 'working dynamic professionals back', 'position motivated talented innovator', 'understand model lifecycle cleansing', 'standardizing raw data', 'construct data models', 'end creating content', 'factor analysis', 'job look like', 'map data', 'oversee perform end', 'opportunities grow develop', 'career journey us', 'scikit etc .)', 'algorithms formulas', 'data', 'sentence hands', 'day', 'model selection', 'validate results', 'present results', 'past decades', 'neural networks', 'gradient boosting', 'feature creation', 'experienced supervised', 'decision trees', 'continually reinvented', 'cloud services', 'billions transactions', 'bi big', 'area ownership', 'anomaly detection', 'etc', 'selection', 'uses', 'tuning', 'top', 'tensorflow', 'svm', 'regression', 'r', 'pytorch', 'python', 'need', 'keras', 'iot', 'gaming', 'frameworks', 'clustering', '5g', '2']","['service', 'insight', 'scope', 'model', 'logic', 'ready', 'tensorflow', 'communication', 'python', 'system', 'svm', 'structure', 'production', 'construct', 'message', 'white', 'processing', 'project', 'map', 'prediction', 'position', 'transformation', 'writing', 'formula', 'direction', 'presentation', 'process', 'mining', 'pytorch', 's', 'dynamic', 'cloud', 'regional', 'drive', 'required', 'boosting', 'identify', 'culture', 'role', 'atmosphere', 'tree', 'organization', 'iot', 'b', 'analysis', 'testing', 'generate', 'subject', 'area', 'detection', 'highest', '5g', 'conference', 'call', 'creation', 'algorithm', 'roi', 'responsibility', 'alignment', 'lifecycle', 'r', 'solution', 'ownership', 'analytics', 'boundary', 'field', 'sentence', 'fabric', 'gradient', 'collaboration', 'trend', 'selection', 'regression', 'proper', 'journey']"
Data Mining and Analytics,HOME ZONE,"Karur, Tamil Nadu",,['Data Mining'],https://indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0B9nyYb2FKTGL-VkjbEhvagf6CsseGCTY06_qH2V8YC4vBiYeXPovDp3emX62Q4hkFjlfCB1hTYUspXHZ15AJK3op6RTryIMhAJxwXJ_dYcHdG1nEslzMXWO9srd0AGD2rXIhdLoeV4MvLniTabOqjuVlkCZda0DVwBLsiIgwWotTt62Kspeo0UtaNhgBPdnj_L8OqC1yleNwvIEoKjWYpNFcbtDof_g3r9npQQbGPUoxxZcvXqRhgUZb1_N9OhZUbL05Ojb-fCExuwE9yiNrfhXi1_ph7wqUtKlQwMZqOlvWuYHh7mskoU4EtRkD7TgCO9miSE-yHS-QPsLSFFgMjQvdHgHDUMFG0hXylUAwNee9U57PiEYaMf5jlpZHvBIdfwSrNv2XZwRyhaDDyPGPKYLIs1seuZJXGY0mxXYzB4faudCJTmXcI14mtQ_03_9PJziGnJC4533A==&p=12&fvj=1&vjs=3,"['online sales platform', 'data analyticsjob types', 'preferred', 'sales platform management', 'platform management data', 'management data analyticsjob', 'total work', 'online sales', 'analyticsjob types', 'year', 'years', 'full-time', 'walk-insalary', 'monthexperience', 'education', 'bachelor', 'sales platform', 'platform management', 'management data', 'data analyticsjob']","['online sales platform management data analyticsjob types', '00 ₹ 30', '₹ 15', '2 years', '1 year', 'total work', '00', 'work', 'walk', 'time', 'preferred', 'monthexperience', 'insalary', 'full', 'education', 'bachelor', '000']","['s', 'platform']"
Data Scientist,Canary Health Technologies Inc.,"Mumbai, Maharashtra",3+ years experience,"['Machine Learning', 'Python', 'AWS', 'SQL', 'R']",https://indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0A_7ePXdH7BlE7SUuLF9WlNDZlLUh5Xn4nJcvEH1S8P0f77G0zL-kOZTWw8txe_WrwFSqDgbGF__q3Fqm90wumL4sDpyk8uA_ree1WYrQonaYsSInAIG4KA7Q_bC14CIB80BM6eeTdixGxDN_8zCUTqdKlu3uPp_Rc-fX4rmT-Y1m8729Q4-cTF-Sv-RpRiCSo0E1zNCRmUTccM60lZl0UR-kgUwPdOZoN3hDKc8mwTOUrK2ucxM2652EBsKiRrqy8Dh2Fq4ghOFvvN_WyUqqVO8u25XnaD-BrhpesvLx7iG6nRnhDLnacmlSIIKYPLnxt__Q_S_hftV7mUx8WlwMovVC8zfdPyIy_1d0sLIUAUcgJLNMSB-tYI7iumjgdhcOIyATXKeZhssp4FUK6TwqnGcNtGlBtFMB6QfrNjfD65cIETuCpGSwm4&p=13&fvj=1&vjs=3,"['based inputted data.this', 'files establishes output', 'scientist build python-based', 'indicating type based', 'type based inputted', 'analytical results indicating', 'prototype analyses raw', 'project requires data', 'requires data scientist', 'analyses raw data', 'raw data files', 'data files establishes', 'data ranges dimensions.this', 'ranges dimensions.this data', 'inputted data.this model', 'data.this model run', 'project requires', 'analyses raw', 'files establishes', 'ranges dimensions.this']","['configure necessary aws infrastructure support modelmodel deployed aws environmentmodel process payloads produce scores saved reporting accessdaily every', 'practical cloud computing experience aws technologies utilizing infrastructure code methodologies create high performance data intensive platforms', 'chemometrics similar added advantageextensive experience model serving workflow tools enable rapid reliable ml experimentation scale', 'based classification model prototype analyses raw data files establishes output data ranges dimensions', 'algorithms worka person experienced performing data analysis model development dataset related spectroscopy', 'sql programming ability quickly create prototype debug solutions cloud native', 'process new data samples received web app stored aws db', 'data model deliver analytical results indicating type based inputted data', 'sample data currently aws cloud model reside deployed', 'model run new samples received cloud', 'deliver core model aws infrastructure', 'project requires data scientist build python', 'deployed model automatically ingest', 'outputs appended existing record review', '5 years work experience', 'accepting payloads outputting staged', 'output scores', 'outputting classification results', 'information provided successful applicant', 'good understanding machine learning', 'programming skills python', 'embedded platforms', 'stratify groups cohorts', 'reporting', 'ins discuss updates', 'preferred ), sagemaker', 'job type', '00 ₹ 450', 'results classify', 'analysis', 'machine learning', '2 years', 'deep learning', '₹ 350', 'temporarily covid', 'specific responsibilities', 'scientific research', 'primary responsibilities', 'developmentwork remotely', 'day check', 'build', 'skills', 'preferred', '00', 'yearexperience', 'resultsknowledge', 'required', 'r', 'progress', 'linux', 'lambda', 'industry', 'etc', 'education', 'ec2', 'develop', 'contractsalary', 'completion', 'challenges', 'bachelor', 'abilities', '3', '19', '000']","['this', 'reporting', 'analytical', 'model', 'python', 'performance', 'native', 'configure', 'dataset', 'lambda', 'scale', 'classification', 'group', 'ml', 'project', 'prototype', 'infrastructure', 'range', 'sample', 'linux', 'embedded', 'file', 'build', 'core', 'process', 'review', 's', 'cloud', 'methodology', 'required', 'analysis', 'platform', 'workflow', 'completion', 'record', 'progress', 'payload', 'output', 'algorithm', 'requires', 'responsibility', 'r', 'solution', 'ingest', 'sql', 'dimension', 'serving', 'web']"
